number;id;comments;title;createdAt;closedAt
454;MDU6SXNzdWUzMjM2NDg3Nzk=;{'totalCount': 4};Now build something - Legend;2018-05-16T14:33:10Z;2018-12-29T19:10:36Z
456;MDU6SXNzdWUzMjQ2NzE1ODE=;{'totalCount': 1};Single page application;2018-05-20T00:26:38Z;2018-05-20T07:01:07Z
458;MDU6SXNzdWUzMzAzMzU5NjY=;{'totalCount': 7};where to learn the coding;2018-06-07T15:56:41Z;2020-01-10T22:15:28Z
462;MDU6SXNzdWUzMzA4ODIwMTc=;{'totalCount': 1};OOP, Algorithms, Data Structures, Design Patterns & etc;2018-06-09T12:15:23Z;2018-06-12T07:30:07Z
463;MDU6SXNzdWUzMzA5MDM0Njc=;{'totalCount': 3};Template Engines;2018-06-09T17:05:14Z;2020-01-10T22:15:04Z
464;MDU6SXNzdWUzMzA5NjExODA=;{'totalCount': 0};DevOps: Please add Oracle as Cloud Provider;2018-06-10T11:33:29Z;2018-06-10T12:23:19Z
466;MDU6SXNzdWUzMzI5OTEzMzI=;{'totalCount': 1};Where can I host the apps 9 and 11 from de back end road?;2018-06-16T14:37:59Z;2018-09-24T06:02:33Z
467;MDU6SXNzdWUzMzM1MTUzMjA=;{'totalCount': 1};Arabic Translation;2018-06-19T04:28:45Z;2018-06-23T11:27:19Z
468;MDU6SXNzdWUzMzQ3ODQwNzI=;{'totalCount': 7};Road-map for full-stack?;2018-06-22T08:05:11Z;2018-06-27T06:39:12Z
469;MDU6SXNzdWUzMzUxNTQ5MzI=;{'totalCount': 0};Colours;2018-06-24T06:24:32Z;2018-06-24T06:28:53Z
470;MDU6SXNzdWUzMzU1NDY3NDc=;{'totalCount': 1};Create releases to mark the roadmap years;2018-06-25T20:00:02Z;2018-09-24T06:10:49Z
471;MDU6SXNzdWUzMzgzMjgxNTA=;{'totalCount': 2};Perl is a useful language to be familiar with;2018-07-04T16:09:57Z;2018-09-24T06:02:51Z
472;MDU6SXNzdWUzMzgzNjg0MjY=;{'totalCount': 1};Add static site generators (GatsbyJs..);2018-07-04T20:16:02Z;2018-07-06T23:34:14Z
474;MDU6SXNzdWUzMzg2MDQyNDU=;{'totalCount': 17};DevOps is not a career path;2018-07-05T14:41:40Z;2019-01-23T18:11:19Z
475;MDU6SXNzdWUzMzg3NzQ0MjY=;{'totalCount': 3};Add Fetch API;2018-07-06T01:24:17Z;2018-10-16T08:16:45Z
476;MDU6SXNzdWUzNDQzNzYyNjk=;{'totalCount': 2};Image transparency;2018-07-25T10:02:11Z;2019-05-06T16:36:17Z
477;MDU6SXNzdWUzNDQ5NjMxMTY=;{'totalCount': 1};ALM path;2018-07-26T18:49:55Z;2020-01-04T06:56:57Z
478;MDU6SXNzdWUzNDU1NDQxMzQ=;{'totalCount': 0};Feedback and project;2018-07-29T16:33:41Z;2018-09-24T06:00:59Z
480;MDU6SXNzdWUzNDg1NzMyMTE=;{'totalCount': 1};Chatbot developer roadmap;2018-08-08T04:44:15Z;2018-08-08T06:22:59Z
481;MDU6SXNzdWUzNDg1NzMzOTc=;{'totalCount': 1};Blockchain developer roadmap;2018-08-08T04:45:27Z;2018-08-08T06:23:09Z
482;MDU6SXNzdWUzNDg4NDY5NzM=;{'totalCount': 4};Why Restify framework is not under nodejs ? ;2018-08-08T18:46:57Z;2020-01-10T22:13:36Z
483;MDU6SXNzdWUzNTAzNDU1MjU=;{'totalCount': 1};Why is the number 17 & 18 used twice in the Front End Diagram?;2018-08-14T09:18:09Z;2018-08-14T12:47:49Z
485;MDU6SXNzdWUzNTMxNDUxMjI=;{'totalCount': 1};Neo4j;2018-08-22T22:11:35Z;2020-01-10T22:10:49Z
489;MDU6SXNzdWUzNTQxMDE5ODc=;{'totalCount': 0};A testing.;2018-08-26T15:06:16Z;2018-08-26T16:48:05Z
490;MDU6SXNzdWUzNTU2NjYwMDE=;{'totalCount': 0};Add singularity on container branch;2018-08-30T16:39:22Z;2018-09-08T14:38:08Z
491;MDU6SXNzdWUzNTg3NDAzMTE=;{'totalCount': 1};Tools vs other knowledge;2018-09-10T18:28:05Z;2020-01-04T00:48:27Z
492;MDU6SXNzdWUzNjIyNzU0OTY=;{'totalCount': 1};Request to add Ember.js to Frontend frameworks;2018-09-20T16:53:07Z;2020-01-04T00:41:16Z
493;MDU6SXNzdWUzNjI5MTcyMTk=;{'totalCount': 1};2019 version?;2018-09-23T06:13:48Z;2018-09-23T08:14:36Z
495;MDU6SXNzdWUzNjU3MzIxMTk=;{'totalCount': 1};Tips: ui-components framework learning for front-end;2018-10-02T04:01:08Z;2018-12-29T19:09:42Z
496;MDU6SXNzdWUzNjY2NTUwODQ=;{'totalCount': 0};Need help C++ Transfer file send and recieve;2018-10-04T07:23:04Z;2018-10-04T07:56:41Z
499;MDU6SXNzdWUzNjc2Mjg1OTU=;{'totalCount': 3};Could you please add a roadmap for Architecture?;2018-10-08T03:29:54Z;2020-01-04T06:45:14Z
500;MDU6SXNzdWUzNjc3NzI2NzI=;{'totalCount': 3};Add PowerShell to scripting languages;2018-10-08T12:44:47Z;2020-01-18T08:02:09Z
504;MDU6SXNzdWUzNjk2OTMzNTg=;{'totalCount': 1};Use draw.io instead of Balsamiq;2018-10-12T20:06:51Z;2018-10-12T21:22:18Z
507;MDU6SXNzdWUzNzA0NzEzNjk=;{'totalCount': 1};Add a french version;2018-10-16T07:19:05Z;2018-10-25T19:55:54Z
509;MDU6SXNzdWUzNzI4MzA2OTg=;{'totalCount': 3};Javascript as backend language;2018-10-23T06:37:37Z;2020-01-10T22:10:15Z
510;MDU6SXNzdWUzNzQxNjUyMTg=;{'totalCount': 2};Add some path for functional programming;2018-10-25T22:59:33Z;2020-01-04T00:42:02Z
512;MDU6SXNzdWUzNzc0NzQyOTk=;{'totalCount': 1};Graphql;2018-11-05T16:20:07Z;2019-09-24T08:54:29Z
