name;owner;url;stargazers;issues;primaryLanguage
nodebestpractices;goldbergyoni;https://github.com/goldbergyoni/nodebestpractices;{'totalCount': 43614};{'totalCount': 179};{'name': 'JavaScript'}
advanced-java;doocs;https://github.com/doocs/advanced-java;{'totalCount': 43279};{'totalCount': 95};{'name': 'Java'}
bitcoin;bitcoin;https://github.com/bitcoin/bitcoin;{'totalCount': 43264};{'totalCount': 5410};{'name': 'C++'}
ansible;ansible;https://github.com/ansible/ansible;{'totalCount': 43049};{'totalCount': 27084};{'name': 'Python'}
redis;antirez;https://github.com/antirez/redis;{'totalCount': 42723};{'totalCount': 4178};{'name': 'C'}
RxJava;ReactiveX;https://github.com/ReactiveX/RxJava;{'totalCount': 42594};{'totalCount': 2913};{'name': 'Java'}
tech-interview-handbook;yangshun;https://github.com/yangshun/tech-interview-handbook;{'totalCount': 42546};{'totalCount': 0};{'name': 'JavaScript'}
requests;psf;https://github.com/psf/requests;{'totalCount': 42416};{'totalCount': 3129};{'name': 'Python'}
meteor;meteor;https://github.com/meteor/meteor;{'totalCount': 41756};{'totalCount': 8317};{'name': 'JavaScript'}
nvm;nvm-sh;https://github.com/nvm-sh/nvm;{'totalCount': 41654};{'totalCount': 1380};{'name': 'Shell'}
every-programmer-should-know;mtdvio;https://github.com/mtdvio/every-programmer-should-know;{'totalCount': 41528};{'totalCount': 28};
protobuf;protocolbuffers;https://github.com/protocolbuffers/protobuf;{'totalCount': 41400};{'totalCount': 3887};{'name': 'C++'}
nocode;kelseyhightower;https://github.com/kelseyhightower/nocode;{'totalCount': 41349};{'totalCount': 3524};{'name': 'Dockerfile'}
ionic;ionic-team;https://github.com/ionic-team/ionic;{'totalCount': 40917};{'totalCount': 17408};{'name': 'TypeScript'}
incubator-echarts;apache;https://github.com/apache/incubator-echarts;{'totalCount': 40900};{'totalCount': 11878};{'name': 'JavaScript'}
scikit-learn;scikit-learn;https://github.com/scikit-learn/scikit-learn;{'totalCount': 40584};{'totalCount': 7417};{'name': 'Python'}
react-router;ReactTraining;https://github.com/ReactTraining/react-router;{'totalCount': 40407};{'totalCount': 5415};{'name': 'JavaScript'}
jekyll;jekyll;https://github.com/jekyll/jekyll;{'totalCount': 40344};{'totalCount': 4177};{'name': 'Ruby'}
realworld;gothinkster;https://github.com/gothinkster/realworld;{'totalCount': 40310};{'totalCount': 339};{'name': 'JavaScript'}
papers-we-love;papers-we-love;https://github.com/papers-we-love/papers-we-love;{'totalCount': 40295};{'totalCount': 128};{'name': 'Shell'}
material-design-icons;google;https://github.com/google/material-design-icons;{'totalCount': 40153};{'totalCount': 862};{'name': 'CSS'}
bulma;jgthms;https://github.com/jgthms/bulma;{'totalCount': 39679};{'totalCount': 2008};{'name': 'CSS'}
fucking-algorithm;labuladong;https://github.com/labuladong/fucking-algorithm;{'totalCount': 39373};{'totalCount': 164};
Front-End-Checklist;thedaviddias;https://github.com/thedaviddias/Front-End-Checklist;{'totalCount': 39220};{'totalCount': 108};
awesome-public-datasets;awesomedata;https://github.com/awesomedata/awesome-public-datasets;{'totalCount': 39104};{'totalCount': 88};
normalize.css;necolas;https://github.com/necolas/normalize.css;{'totalCount': 38797};{'totalCount': 458};{'name': 'CSS'}
pytorch;pytorch;https://github.com/pytorch/pytorch;{'totalCount': 38493};{'totalCount': 14023};{'name': 'C++'}
yarn;yarnpkg;https://github.com/yarnpkg/yarn;{'totalCount': 38428};{'totalCount': 5792};{'name': 'JavaScript'}
gin;gin-gonic;https://github.com/gin-gonic/gin;{'totalCount': 37884};{'totalCount': 1375};{'name': 'Go'}
awesome-android-ui;wasabeef;https://github.com/wasabeef/awesome-android-ui;{'totalCount': 37822};{'totalCount': 0};
hacker-scripts;NARKOZ;https://github.com/NARKOZ/hacker-scripts;{'totalCount': 37802};{'totalCount': 56};{'name': 'JavaScript'}
DeepLearning-500-questions;scutan90;https://github.com/scutan90/DeepLearning-500-questions;{'totalCount': 37760};{'totalCount': 151};
awesome-mac;jaywcjlove;https://github.com/jaywcjlove/awesome-mac;{'totalCount': 37602};{'totalCount': 261};{'name': 'JavaScript'}
materialize;Dogfalo;https://github.com/Dogfalo/materialize;{'totalCount': 37498};{'totalCount': 5121};{'name': 'JavaScript'}
TensorFlow-Examples;aymericdamien;https://github.com/aymericdamien/TensorFlow-Examples;{'totalCount': 37229};{'totalCount': 208};{'name': 'Jupyter Notebook'}
guava;google;https://github.com/google/guava;{'totalCount': 37164};{'totalCount': 3114};{'name': 'Java'}
scrapy;scrapy;https://github.com/scrapy/scrapy;{'totalCount': 37035};{'totalCount': 2183};{'name': 'Python'}
Awesome-Hacking;Hack-with-Github;https://github.com/Hack-with-Github/Awesome-Hacking;{'totalCount': 37006};{'totalCount': 0};
okhttp;square;https://github.com/square/okhttp;{'totalCount': 36963};{'totalCount': 3064};{'name': 'Java'}
spring-framework;spring-projects;https://github.com/spring-projects/spring-framework;{'totalCount': 36863};{'totalCount': 19451};{'name': 'Java'}
freecodecamp.cn;FreeCodeCampChina;https://github.com/FreeCodeCampChina/freecodecamp.cn;{'totalCount': 36826};{'totalCount': 585};{'name': 'CSS'}
awesome-react;enaqx;https://github.com/enaqx/awesome-react;{'totalCount': 36814};{'totalCount': 63};
nw.js;nwjs;https://github.com/nwjs/nw.js;{'totalCount': 36798};{'totalCount': 6648};{'name': 'JavaScript'}
